customer_id,age,gender,marital_status,annual_income,policy_type,policy_tenure,premium_amount,vehicle_age,vehicle_type,vehicle_price,num_claims,last_claim_amount,claim_frequency,fraud_reported,filed_claim
C0077,71,Female,Married,89094,Comprehensive,11,920,0,Sedan,6844,0,0,0.0,No,Yes
C0078,59,Male,Married,97615,Comprehensive,14,1836,13,SUV,44165,0,0,0.0,No,Yes
C0079,21,Female,Married,70937,Collision,10,808,0,SUV,50653,0,0,0.0,No,No
C0080,71,Female,Married,71962,Liability,9,1313,9,SUV,57403,1,9103,0.11,No,Yes
C0081,46,Male,Married,62620,Collision,7,1345,10,SUV,53876,1,10488,0.14,No,Yes
C0082,35,Male,Single,79384,Collision,2,2167,19,Motorcycle,45288,0,0,0.0,No,No
C0083,43,Male,Divorced,11137,Collision,1,2325,1,Motorcycle,14942,0,0,0.0,No,No
C0084,61,Male,Married,59922,Comprehensive,1,1461,1,SUV,38660,2,7757,2.0,No,Yes
C0085,51,Female,Single,48547,Collision,13,2482,10,SUV,13406,1,1985,0.08,No,Yes
C0086,27,Male,Single,62916,Comprehensive,3,1712,7,Sedan,24813,1,13156,0.33,No,Yes
C0087,53,Male,Married,81852,Liability,13,1220,2,Sedan,18171,1,18179,0.08,No,Yes
C0088,31,Female,Single,60380,Liability,14,1565,8,SUV,28129,1,16670,0.07,No,Yes
C0089,48,Male,Widowed,52790,Collision,10,1089,15,Motorcycle,35303,1,2691,0.1,No,Yes
C0090,65,Other,Single,31934,Liability,2,819,15,Sedan,25028,1,7744,0.5,No,Yes
C0091,32,Male,Married,57814,Comprehensive,4,1510,9,Truck,32191,2,13307,0.5,No,Yes
C0092,25,Male,Single,73445,Liability,14,2180,5,Motorcycle,26723,1,6733,0.07,No,Yes
C0093,31,Male,Married,43178,Liability,14,944,19,Truck,21989,1,11115,0.07,No,Yes
C0094,40,Male,Divorced,19933,Liability,8,1897,19,Truck,52440,1,8568,0.12,No,Yes
C0095,74,Male,Married,105484,Collision,5,785,19,Sedan,58566,0,0,0.0,No,No
C0096,57,Female,Married,66703,Comprehensive,5,670,10,Sedan,21312,1,3765,0.2,No,Yes
C0097,38,Other,Single,55568,Collision,6,2128,7,Sedan,37503,1,6417,0.17,No,Yes
C0098,33,Male,Single,87819,Comprehensive,13,762,19,Truck,56665,1,15341,0.08,No,Yes
C0099,62,Female,Single,62829,Collision,12,2492,0,Sedan,34400,0,0,0.0,No,No
C0100,35,Female,Married,86640,Comprehensive,5,1441,5,Sedan,44811,2,1010,0.4,No,Yes
C0101,64,Female,Single,84927,Comprehensive,5,2058,7,SUV,22561,0,0,0.0,No,No
C0102,70,Male,Single,34509,Comprehensive,14,2327,13,SUV,50406,0,0,0.0,No,No
C0103,41,Male,Married,69199,Comprehensive,7,641,2,SUV,26565,2,7458,0.29,No,Yes
C0104,43,Male,Married,94505,Collision,6,1671,1,Motorcycle,22867,5,8018,0.83,No,Yes
C0105,42,Female,Married,40026,Comprehensive,13,1963,0,Sedan,34621,0,0,0.0,No,No
C0106,62,Female,Single,40272,Collision,13,1127,10,SUV,57463,1,18834,0.08,No,Yes
C0107,58,Male,Single,43655,Comprehensive,14,1092,5,SUV,25669,0,0,0.0,No,No
C0108,46,Male,Divorced,77808,Liability,10,915,7,Sedan,28697,0,0,0.0,No,Yes
C0109,32,Female,Single,65687,Comprehensive,11,524,6,SUV,14737,1,15273,0.09,No,Yes
C0110,62,Female,Divorced,21284,Liability,2,1126,5,SUV,37035,0,0,0.0,No,No
C0111,18,Other,Divorced,66818,Comprehensive,13,593,17,SUV,51721,2,16436,0.15,No,Yes
C0112,42,Female,Married,54961,Comprehensive,1,804,11,Sedan,53187,1,5568,1.0,No,Yes
C0113,24,Male,Single,57754,Collision,1,684,7,Truck,14688,0,0,0.0,No,No
C0114,26,Female,Married,43259,Liability,4,782,18,Motorcycle,17974,2,5590,0.5,No,Yes
C0115,41,Female,Married,66965,Liability,2,1678,4,Sedan,29648,1,13791,0.5,No,Yes
C0116,18,Male,Married,81009,Liability,6,1185,18,SUV,43126,1,7901,0.17,No,Yes
C0117,61,Female,Single,47160,Comprehensive,12,1362,8,SUV,27943,0,0,0.0,No,No
C0118,25,Female,Single,26350,Collision,12,1184,11,Sedan,33612,3,4492,0.25,No,Yes
C0119,41,Male,Single,53937,Collision,9,1165,14,SUV,48186,1,11301,0.11,No,Yes
C0120,28,Female,Married,75125,Comprehensive,10,1537,12,Sedan,55242,0,0,0.0,No,No
C0121,68,Female,Married,51579,Collision,11,1389,12,Motorcycle,47576,1,9582,0.09,No,Yes
C0122,34,Female,Single,30049,Comprehensive,14,1315,4,SUV,19583,0,0,0.0,No,No
C0123,25,Male,Married,75264,Liability,10,2163,1,Motorcycle,26186,2,19730,0.2,No,Yes
C0124,52,Male,Single,88306,Liability,8,840,18,Sedan,30563,1,2195,0.12,No,Yes
C0125,52,Female,Married,60400,Collision,4,1103,7,Sedan,31691,3,9507,0.75,No,Yes
C0126,50,Male,Divorced,27884,Comprehensive,13,2306,13,SUV,6591,1,7878,0.08,No,Yes
C0127,22,Female,Single,53643,Comprehensive,12,1233,5,Truck,20458,0,0,0.0,No,No
C0128,59,Female,Single,63030,Comprehensive,2,1996,6,SUV,10901,0,0,0.0,No,No
C0129,56,Male,Single,43805,Comprehensive,1,1318,13,SUV,45847,0,0,0.0,No,No
C0130,58,Female,Married,71667,Collision,7,2345,5,SUV,46547,0,0,0.0,No,No
C0131,45,Female,Married,41850,Liability,10,1406,15,Sedan,14034,1,13241,0.1,No,Yes
C0132,24,Male,Divorced,60512,Comprehensive,3,1631,3,SUV,41417,0,0,0.0,No,No
C0133,26,Female,Single,55433,Comprehensive,14,1854,6,SUV,33192,1,10388,0.07,No,Yes
C0134,25,Female,Widowed,72317,Liability,6,1039,15,Sedan,20116,0,0,0.0,No,No
C0135,29,Female,Single,59714,Comprehensive,5,938,3,Sedan,22949,2,15618,0.4,No,Yes
C0136,51,Female,Married,56070,Comprehensive,5,2232,6,SUV,57761,0,0,0.0,No,No
C0137,50,Male,Single,43942,Comprehensive,12,1487,1,SUV,40697,2,10969,0.17,No,Yes
C0138,65,Female,Divorced,60695,Comprehensive,2,2235,7,Truck,38489,2,18583,1.0,No,Yes
C0139,72,Female,Married,54795,Comprehensive,14,1165,9,Sedan,6804,4,723,0.29,No,Yes
C0140,40,Female,Married,42589,Comprehensive,9,883,1,SUV,17611,1,2259,0.11,No,Yes
C0141,41,Female,Married,63189,Comprehensive,11,1081,5,SUV,5654,1,16937,0.09,No,Yes
C0142,54,Male,Single,67279,Liability,4,659,3,SUV,13336,2,13847,0.5,No,Yes
C0143,52,Female,Single,53231,Comprehensive,10,931,0,SUV,52877,1,6184,0.1,No,Yes
C0144,61,Male,Divorced,78631,Comprehensive,1,2387,5,Truck,47656,2,17583,2.0,No,Yes
C0145,57,Male,Single,65279,Liability,2,1919,11,SUV,27837,0,0,0.0,No,No
C0146,39,Male,Single,34322,Collision,9,2489,13,Truck,58391,1,4884,0.11,No,Yes
C0147,44,Other,Married,86747,Comprehensive,7,2496,14,SUV,18229,0,0,0.0,No,No
C0148,52,Female,Married,75339,Collision,10,1114,17,Sedan,32287,1,810,0.1,No,Yes
C0149,18,Female,Single,80036,Collision,2,987,16,Sedan,22276,3,19389,1.5,Yes,Yes
C0150,52,Female,Single,68010,Comprehensive,7,2271,8,Sedan,32140,0,0,0.0,No,No
C0151,54,Female,Single,13245,Comprehensive,14,1712,14,Sedan,9290,2,14886,0.14,No,Yes
C0152,64,Female,Married,81852,Comprehensive,4,1941,17,SUV,33130,1,18006,0.25,No,Yes
C0153,31,Female,Divorced,61215,Comprehensive,10,842,17,SUV,55812,2,841,0.2,No,Yes
C0154,20,Male,Widowed,67064,Collision,2,1884,4,SUV,33122,2,13350,1.0,No,Yes
C0155,18,Male,Married,70807,Comprehensive,12,608,15,SUV,51667,0,0,0.0,No,No
C0156,22,Female,Single,98725,Liability,4,1348,8,SUV,42681,0,0,0.0,No,Yes
C0157,43,Female,Divorced,49075,Comprehensive,5,800,2,Sedan,28720,2,5923,0.4,No,Yes
C0158,72,Male,Married,49591,Collision,13,1891,11,Sedan,48736,0,0,0.0,No,No
C0159,31,Male,Single,42979,Comprehensive,14,1778,13,SUV,12350,2,10341,0.14,No,Yes
C0160,56,Female,Divorced,38601,Comprehensive,4,1839,0,Sedan,58072,0,0,0.0,No,Yes
C0161,44,Male,Married,38969,Comprehensive,3,1204,8,Sedan,47096,2,18466,0.67,No,Yes
C0162,26,Female,Married,22964,Comprehensive,6,1594,8,Sedan,55451,1,15101,0.17,No,Yes
C0163,32,Other,Married,68533,Comprehensive,1,768,19,Sedan,7523,1,13730,1.0,No,Yes
C0164,32,Male,Single,99756,Comprehensive,8,2369,12,Sedan,39428,1,16799,0.12,No,Yes
C0165,43,Male,Single,101031,Comprehensive,12,2024,7,SUV,12630,0,0,0.0,No,No
C0166,59,Female,Married,42952,Comprehensive,5,1732,10,Sedan,9512,0,0,0.0,No,Yes
C0167,30,Female,Single,54556,Comprehensive,8,977,13,Sedan,39626,0,0,0.0,No,No
C0168,68,Female,Married,84666,Comprehensive,10,675,15,Truck,30286,0,0,0.0,No,No
C0169,49,Other,Married,68646,Liability,4,738,10,Sedan,13329,2,6810,0.5,No,Yes
C0170,56,Male,Married,62690,Liability,4,1392,18,SUV,16752,2,1566,0.5,No,Yes
C0171,66,Female,Married,54865,Liability,5,2468,9,Sedan,55905,0,0,0.0,No,Yes
C0172,69,Female,Married,83566,Comprehensive,5,1109,7,Motorcycle,16048,1,10268,0.2,No,Yes
C0173,49,Female,Married,38538,Comprehensive,11,1358,10,SUV,45103,2,7682,0.18,No,Yes
C0174,21,Male,Married,69617,Comprehensive,6,1965,7,Sedan,55336,1,12916,0.17,No,Yes
C0175,47,Female,Single,66898,Liability,5,2124,19,Sedan,19071,0,0,0.0,No,No
C0176,54,Female,Single,60867,Comprehensive,5,2287,9,Sedan,22117,2,12478,0.4,No,Yes
C0177,40,Male,Single,75754,Comprehensive,13,991,16,Truck,56003,0,0,0.0,No,No
C0178,56,Male,Single,60674,Comprehensive,8,598,10,SUV,11520,3,12337,0.38,Yes,Yes
C0179,62,Female,Single,49309,Comprehensive,6,828,11,Sedan,46354,0,0,0.0,No,No
C0180,32,Male,Single,61850,Liability,2,1849,9,Motorcycle,10291,2,709,1.0,No,Yes
C0181,60,Male,Married,28157,Collision,4,944,19,Sedan,23901,1,7026,0.25,No,Yes
C0182,46,Male,Divorced,72254,Liability,4,2189,16,SUV,20106,0,0,0.0,No,No
C0183,53,Female,Single,77364,Comprehensive,5,1497,2,Truck,41095,0,0,0.0,No,No
C0184,30,Female,Married,46867,Collision,6,794,6,Truck,37423,2,3949,0.33,No,Yes
C0185,49,Female,Married,42109,Comprehensive,11,941,2,SUV,11124,1,2631,0.09,No,Yes
C0186,24,Male,Single,47604,Collision,5,1294,16,Truck,18431,1,6627,0.2,No,Yes
C0187,68,Female,Divorced,58739,Liability,14,2331,7,Motorcycle,56218,1,15498,0.07,No,Yes
C0188,39,Female,Married,64317,Comprehensive,14,1390,18,Motorcycle,50863,1,18579,0.07,No,Yes
C0189,45,Female,Single,92309,Comprehensive,11,530,13,Sedan,53948,0,0,0.0,No,Yes
C0190,19,Female,Married,89781,Liability,6,1654,4,Sedan,38014,2,10650,0.33,No,Yes
C0191,59,Male,Single,76630,Comprehensive,8,2251,18,Sedan,26708,0,0,0.0,No,No
C0192,62,Female,Married,62425,Comprehensive,4,2050,12,Truck,12587,0,0,0.0,No,Yes
C0193,74,Male,Single,41461,Comprehensive,11,937,17,Sedan,8138,1,16045,0.09,No,Yes
C0194,70,Female,Married,93592,Collision,3,1849,10,Sedan,54493,1,15567,0.33,No,Yes
C0195,23,Male,Married,55047,Liability,9,1790,11,Sedan,36064,0,0,0.0,No,No
C0196,45,Male,Married,65627,Comprehensive,3,785,7,SUV,51995,1,11254,0.33,No,Yes
C0197,45,Male,Single,72547,Comprehensive,11,790,11,SUV,33344,1,4711,0.09,No,Yes
C0198,61,Female,Married,61231,Comprehensive,8,867,0,Sedan,7434,0,0,0.0,No,No
C0199,61,Male,Married,83021,Comprehensive,10,985,17,SUV,54493,1,2948,0.1,No,Yes
C0200,37,Female,Married,69107,Comprehensive,12,1054,1,Sedan,21491,1,4894,0.08,No,Yes
C0201,47,Male,Married,79772,Liability,5,2480,11,Sedan,44588,1,13297,0.2,No,Yes
C0202,28,Male,Married,68946,Comprehensive,9,667,18,Motorcycle,58880,0,0,0.0,No,No
C0203,72,Female,Divorced,59242,Collision,3,2384,6,SUV,26477,0,0,0.0,No,No
C0204,45,Male,Married,61483,Comprehensive,10,1994,6,Sedan,59673,0,0,0.0,No,Yes
C0205,42,Male,Married,58755,Comprehensive,10,2461,0,Motorcycle,51381,3,8597,0.3,No,Yes
C0206,56,Female,Married,34314,Liability,8,2290,17,Sedan,42994,0,0,0.0,No,No
C0207,50,Male,Married,39983,Liability,14,1693,7,SUV,12802,0,0,0.0,No,No
C0208,18,Male,Single,74810,Liability,13,2410,9,SUV,17872,0,0,0.0,No,Yes
C0209,74,Male,Married,34812,Comprehensive,13,1270,0,SUV,15716,2,18277,0.15,No,Yes
C0210,44,Female,Married,51915,Collision,7,1869,14,SUV,56536,0,0,0.0,No,No
C0211,74,Female,Single,38997,Comprehensive,12,577,14,Sedan,33107,0,0,0.0,No,No
C0212,69,Female,Married,50845,Liability,7,1350,3,SUV,15552,3,15559,0.43,Yes,Yes
C0213,30,Female,Married,56894,Liability,14,1608,9,Sedan,18465,1,9704,0.07,No,Yes
C0214,58,Male,Single,51875,Comprehensive,11,1391,7,SUV,10920,2,17679,0.18,No,Yes
C0215,20,Male,Married,31432,Comprehensive,10,1160,13,SUV,46568,1,18087,0.1,No,Yes
C0216,56,Female,Single,56289,Comprehensive,9,1724,12,SUV,10468,0,0,0.0,No,No
C0217,23,Male,Single,40822,Comprehensive,12,1088,16,Truck,20125,0,0,0.0,No,No
C0218,25,Male,Married,47268,Comprehensive,8,1884,6,Sedan,19077,4,16354,0.5,Yes,Yes
C0219,44,Male,Single,74810,Liability,3,1261,5,Sedan,32217,0,0,0.0,No,No
C0220,26,Male,Single,79107,Liability,14,1064,8,Sedan,45464,0,0,0.0,No,No
C0221,54,Other,Divorced,33780,Liability,13,1311,19,Motorcycle,48307,1,2757,0.08,No,Yes
C0222,50,Male,Single,91373,Liability,6,801,19,Truck,7739,2,6579,0.33,No,Yes
C0223,68,Female,Widowed,49798,Liability,11,792,7,Motorcycle,58975,1,561,0.09,No,Yes
C0224,59,Male,Widowed,47979,Comprehensive,6,793,13,Sedan,18845,4,18430,0.67,Yes,Yes
C0225,61,Other,Single,42166,Comprehensive,5,608,19,SUV,10060,0,0,0.0,No,No
C0226,41,Male,Single,61118,Comprehensive,3,864,2,SUV,29861,1,10442,0.33,No,Yes
C0227,32,Male,Married,99631,Comprehensive,9,1099,12,SUV,15662,1,8054,0.11,No,Yes
C0228,71,Female,Married,29206,Collision,7,1177,8,SUV,59990,1,8870,0.14,No,Yes
C0229,49,Female,Single,18862,Liability,4,2017,8,Sedan,13685,4,6109,1.0,No,Yes
C0230,49,Male,Married,65370,Collision,6,1790,10,SUV,22401,0,0,0.0,No,Yes
C0231,41,Male,Single,71386,Comprehensive,5,592,5,Truck,8490,0,0,0.0,No,No
C0232,58,Male,Divorced,61053,Comprehensive,1,2208,11,Sedan,57036,1,15222,1.0,No,Yes
C0233,69,Male,Single,71915,Comprehensive,2,1587,3,Motorcycle,7814,1,11291,0.5,No,Yes
C0234,66,Male,Single,37374,Liability,1,927,3,SUV,47949,3,9027,3.0,No,Yes
C0235,66,Female,Single,41102,Collision,9,1137,16,SUV,52448,0,0,0.0,No,No
C0236,69,Male,Widowed,62479,Liability,9,867,6,SUV,42682,0,0,0.0,No,No
C0237,29,Male,Married,95161,Comprehensive,5,2265,5,SUV,15558,0,0,0.0,No,No
C0238,56,Female,Married,71213,Comprehensive,8,604,19,Sedan,18653,0,0,0.0,No,Yes
C0239,19,Other,Single,72144,Liability,10,708,7,SUV,49410,1,10359,0.1,No,Yes
C0240,20,Female,Single,38526,Liability,4,2097,6,Sedan,31232,2,18338,0.5,No,Yes
C0241,66,Male,Single,68448,Liability,1,1511,7,Motorcycle,57216,1,5530,1.0,No,Yes
C0242,54,Male,Married,36357,Liability,13,2275,8,Sedan,32318,0,0,0.0,No,No
C0243,66,Female,Married,95355,Collision,13,973,0,Sedan,54741,0,0,0.0,No,No
C0244,73,Male,Married,39761,Comprehensive,4,1584,2,Motorcycle,46594,3,9346,0.75,No,Yes
C0245,34,Male,Single,44070,Liability,7,1869,17,Sedan,33616,1,13034,0.14,No,Yes
C0246,66,Female,Divorced,30538,Comprehensive,11,511,18,Sedan,29783,4,7004,0.36,No,Yes
C0247,19,Female,Single,61716,Collision,2,965,10,Truck,23617,2,1167,1.0,No,Yes
C0248,19,Female,Widowed,60875,Liability,2,1148,15,Sedan,30552,1,6659,0.5,No,Yes
C0249,45,Male,Single,90264,Liability,6,1718,17,Sedan,31640,0,0,0.0,No,No
C0250,71,Male,Married,75528,Collision,9,1597,5,Sedan,22697,1,15183,0.11,No,Yes
C0251,40,Other,Single,44184,Liability,3,1374,1,Truck,29553,0,0,0.0,No,No
C0252,54,Male,Married,77467,Comprehensive,7,885,3,Sedan,17541,0,0,0.0,No,No
C0253,49,Female,Married,35129,Liability,10,1659,4,SUV,22354,2,4122,0.2,No,Yes
C0254,50,Female,Married,45632,Collision,14,1383,13,Sedan,42474,1,14881,0.07,No,Yes
C0255,18,Female,Married,62369,Collision,9,1054,0,Sedan,44357,1,19394,0.11,No,Yes
C0256,36,Male,Married,37362,Collision,11,2437,13,Sedan,54057,1,1893,0.09,No,Yes
C0257,19,Male,Married,81293,Comprehensive,13,1959,12,Motorcycle,36715,2,8069,0.15,No,Yes
C0258,70,Female,Married,105586,Comprehensive,9,1562,15,SUV,47439,0,0,0.0,No,No
C0259,61,Female,Single,54109,Liability,11,2066,3,Sedan,14362,1,18439,0.09,No,Yes
C0260,43,Female,Married,46966,Collision,4,1153,5,Sedan,18171,2,3914,0.5,No,Yes
C0261,49,Male,Married,57408,Collision,2,1843,8,SUV,8185,2,6776,1.0,No,Yes
C0262,23,Male,Single,48852,Comprehensive,1,2394,0,SUV,12264,1,3889,1.0,No,Yes
C0263,49,Female,Married,65234,Comprehensive,6,1364,16,Sedan,53509,0,0,0.0,No,No
C0264,72,Female,Single,33551,Liability,5,1488,3,Sedan,30975,1,13055,0.2,No,Yes
C0265,21,Female,Single,66370,Comprehensive,6,2079,5,Truck,56527,3,7236,0.5,No,Yes
C0266,72,Male,Single,98238,Comprehensive,7,2223,15,SUV,58596,0,0,0.0,No,No
C0267,28,Female,Single,19957,Comprehensive,9,852,6,Sedan,20529,0,0,0.0,No,No
C0268,73,Female,Married,36627,Comprehensive,10,1013,4,Sedan,44218,3,9603,0.3,No,Yes
C0269,34,Female,Married,51098,Liability,10,2006,8,SUV,21582,4,1471,0.4,No,Yes
C0270,55,Male,Widowed,70837,Collision,11,1939,18,Sedan,41016,1,7908,0.09,No,Yes
C0271,41,Male,Married,77807,Collision,6,1303,0,Sedan,6147,1,4347,0.17,No,Yes
C0272,22,Female,Single,76198,Collision,6,2346,7,SUV,59428,1,16408,0.17,No,Yes
C0273,69,Male,Divorced,26165,Comprehensive,13,1893,19,SUV,44518,2,17320,0.15,No,Yes
C0274,51,Male,Divorced,46513,Comprehensive,3,842,3,SUV,37029,2,18468,0.67,No,Yes
C0275,23,Female,Married,41993,Liability,13,2482,16,SUV,9706,3,7656,0.23,No,Yes
C0276,39,Male,Married,58696,Collision,8,1848,0,Truck,34592,2,4812,0.25,No,Yes
C0277,28,Female,Widowed,60365,Comprehensive,9,1890,1,Sedan,35574,0,0,0.0,No,No
C0278,65,Male,Married,32615,Comprehensive,1,835,13,Sedan,9035,1,2095,1.0,No,Yes
C0279,33,Female,Divorced,51208,Comprehensive,6,1819,1,Sedan,54008,0,0,0.0,No,Yes
C0280,50,Other,Single,71610,Collision,7,523,0,Motorcycle,31858,1,18226,0.14,No,Yes
